"year","sem","time","post","Comune_ISTAT","Comune_amm","Comune_descrizione","Fascia","Zona","LinkZona","zone_key","price_mid","Compr_min","Compr_max","CODCOM","CODZONA","cx","cy","dist_cortina_km","dist_bin","log_price"
2021,1,2021,1,5025046,"I063","SAN NICOLO` DI COMELICO","E","E1","BL00000885","I063_E1",900,800,1000,"I063","E1",770678.030137842,5165427.31323606,31.0809060760927,"20-40 km",6.80239476332431
2021,1,2021,1,5025046,"I063","SAN NICOLO` DI COMELICO","R","R1","BL00002148","I063_R1",655,570,740,"I063","R1",771486.265763794,5168690.10552867,32.691280155167,"20-40 km",6.48463523563525
2021,1,2021,1,5025047,"I088","SAN PIETRO DI CADORE","B","B1","BL00000899","I088_B1",1225,1150,1300,"I088","B1",775292.746718036,5163999.35756705,35.3755007767864,"20-40 km",7.11069612297883
2021,1,2021,1,5025047,"I088","SAN PIETRO DI CADORE","E","E1","BL00000901","I088_E1",1005,960,1050,"I088","E1",773890.017337372,5164752.56765134,34.1077195701427,"20-40 km",6.91274282049318
2021,1,2021,1,5025047,"I088","SAN PIETRO DI CADORE","R","R1","BL00002150","I088_R1",815,780,850,"I088","R1",775918.312621623,5169130.90415366,37.0643300398418,"20-40 km",6.70318811324086
2021,1,2021,1,5025048,"I206","SANTA GIUSTINA","B","B1","BL00000915","I206_B1",1025,900,1150,"I206","B1",735125.729529302,5107753.31452135,51.4567804659795,"40-60 km",6.93244789157251
2021,1,2021,1,5025048,"I206","SANTA GIUSTINA","D","D1","BL00000916","I206_D1",870,800,940,"I206","D1",734537.023769557,5106995.98599464,52.2717486895023,"40-60 km",6.76849321164863
2021,1,2021,1,5025048,"I206","SANTA GIUSTINA","E","E1","BL00000917","I206_E1",925,850,1000,"I206","E1",736893.224542196,5110123.88844204,48.9447509836142,"40-60 km",6.82979373751242
2021,1,2021,1,5025048,"I206","SANTA GIUSTINA","R","R1","BL00002165","I206_R1",875,800,950,"I206","R1",734340.660670145,5108981.97746312,50.321045736852,"40-60 km",6.77422388635761
2021,1,2021,1,5025049,"I347","SAN TOMASO AGORDINO","B","B1","BL00000947","I347_B1",1050,950,1150,"I347","B1",728706.983515982,5140618.21370163,21.6800016638738,"20-40 km",6.95654544315157
2021,1,2021,1,5025049,"I347","SAN TOMASO AGORDINO","E","E1","BL00000949","I347_E1",900,800,1000,"I347","E1",729485.863887188,5140661.92371435,21.2367960529004,"20-40 km",6.80239476332431
2021,1,2021,1,5025049,"I347","SAN TOMASO AGORDINO","R","R1","BL00002161","I347_R1",675,600,750,"I347","R1",728678.30262038,5141286.44027554,21.1336749763532,"20-40 km",6.51471269087253
2021,1,2021,1,5025051,"I392","SAN VITO DI CADORE","B","B1","BL00000963","I392_B1",3050,2700,3400,"I392","B1",746147.885949478,5150314.61212077,10.4419527334858,"0-20 km",8.02289686960146
2021,1,2021,1,5025051,"I392","SAN VITO DI CADORE","R","R1","BL00002152","I392_R1",2750,2500,3000,"I392","R1",744104.497400647,5151579.60071011,8.30514609421697,"0-20 km",7.91935619066062
2021,1,2021,1,5025054,"I592","SELVA DI CADORE","B","B1","BL00001011","I592_B1",1825,1650,2000,"I592","B1",734580.128352705,5148123.44332706,12.2361859191882,"0-20 km",7.50933526601659
2021,1,2021,1,5025054,"I592","SELVA DI CADORE","R","R1","BL00002122","I592_R1",1275,1150,1400,"I592","R1",735351.643957465,5148306.48455359,11.7300948595096,"0-20 km",7.15070145759253
2021,1,2021,1,5025055,"I626","SEREN DEL GRAPPA","B","B1","BL00001027","I626_B1",800,700,900,"I626","B1",721026.199801565,5097603.26083211,64.2983012387744,"60-80 km",6.68461172766793
2021,1,2021,1,5025055,"I626","SEREN DEL GRAPPA","R","R1","BL00002105","I626_R1",720,650,790,"I626","R1",719611.322612536,5092488.64287264,69.6021444189936,"60-80 km",6.5792512120101
2021,1,2021,1,5025058,"I673","SOVRAMONTE","B","B1","BL00001046","I673_B1",675,600,750,"I673","B1",714794.64192601,5103771.38452724,60.7807311334536,"60-80 km",6.51471269087253
2021,1,2021,1,5025058,"I673","SOVRAMONTE","E","E1","BL00001048","I673_E1",620,550,690,"I673","E1",717990.924803943,5105261.71763443,58.1321712623337,"40-60 km",6.42971947803914
2021,1,2021,1,5025058,"I673","SOVRAMONTE","E","E2","BL00001049","I673_E2",900,850,950,"I673","E2",718937.555507566,5105111.59340345,57.9153741737121,"40-60 km",6.80239476332431
2021,1,2021,1,5025058,"I673","SOVRAMONTE","R","R1","BL00002144","I673_R1",540,450,630,"I673","R1",716794.918410768,5105760.5680292,58.1444442735296,"40-60 km",6.29156913955832
2021,1,2021,1,5025056,"I866","SOSPIROLO","B","B1","BL00001063","I866_B1",775,700,850,"I866","B1",737165.931352568,5114078.62930726,44.980619081375,"40-60 km",6.65286302935335
2021,1,2021,1,5025056,"I866","SOSPIROLO","D","D1","BL00001064","I866_D1",725,650,800,"I866","D1",737783.665932908,5113852.39134625,45.1679785011609,"40-60 km",6.58617165485467
2021,1,2021,1,5025056,"I866","SOSPIROLO","R","R1","BL00002120","I866_R1",615,500,730,"I866","R1",736177.383462263,5117601.15054839,41.5531760386076,"40-60 km",6.42162226780652
2021,1,2021,1,5025057,"I876","SOVERZENE","B","B1","BL00001079","I876_B1",775,700,850,"I876","B1",754644.686816403,5122125.98435909,39.5281507289703,"20-40 km",6.65286302935335
2021,1,2021,1,5025057,"I876","SOVERZENE","R","R1","BL00002103","I876_R1",625,550,700,"I876","R1",757261.462778721,5122716.19970536,40.0172829214991,"40-60 km",6.4377516497364
