"zone_key","CODCOM","CODZONA","cx","cy","dist_cortina_km"
"M374_E2","M374","E2",741827.725386362,5138254.20117935,20.7550164513765
"M374_B1","M374","B1",744605.253529883,5137734.19463674,21.6537039396742
"M374_R2","M374","R2",745421.84396883,5136284.57665317,23.2428449053605
"M374_E1","M374","E1",740736.129763577,5141124.96097909,17.8322668087637
"M375_R1","M375","R1",759942.012478237,5113859.54257912,49.192448016727
"M375_D1","M375","D1",758740.953483327,5113565.14615334,48.997384235993
"M375_B2","M375","B2",759341.214832874,5114851.4691391,48.0433094378517
"M375_E3","M375","E3",761266.149490868,5115478.65522479,48.273456893954
"M375_B3","M375","B3",758815.372386523,5118091.05077428,44.8681772544609
"M375_E4","M375","E4",759736.085884845,5117679.85106571,45.6279138688984
"M375_E2","M375","E2",763014.13707398,5112368.54393269,51.8346844361743
"M375_B1","M375","B1",759403.37177841,5113001.09931329,49.7710683708592
"M375_E1","M375","E1",756826.267368533,5116012.38108849,46.0169581680522
"M421_R1","M421","R1",739527.075662987,5101641.08734491,57.3152229838202
"M421_D1","M421","D1",740004.900274937,5106403.04766304,52.549042941632
"M421_B2","M421","B2",733686.22634522,5103437.24823405,55.9042606092102
"M421_E3","M421","E3",741195.520270058,5104851.10529851,54.1080274663266
"M421_B3","M421","B3",742583.016109161,5106672.01182446,52.3300966662797
"M421_E2","M421","E2",739969.337895148,5103494.48400951,55.4577563695279
"M421_B1","M421","B1",738168.09328026,5105622.28395037,53.3708621664537
"M421_D3","M421","D3",742681.999913314,5107569.55775133,51.4379647141851
"M421_D2","M421","D2",732302.866408037,5102466.58382214,57.0451969221714
"M421_E1","M421","E1",736931.763996176,5103844.20891098,55.2087442762782
"M437_R1","M437","R1",723651.125581403,5087850.00062422,73.0198627647825
